Mixture 1,Mixture 2,Semantic Prediction,Experimental Values (1-Similarity)
1,2,0.74504168,0.60416667
1,3,0.94524978,0.65104167
1,4,0.80753572,0.52604167
1,5,0.78293374,0.50520833
1,6,0.77961509,0.41145833
1,7,0.90716149,0.5625
3,38,0.90130173,0.77840909
3,39,0.83250926,0.77272727
3,40,0.80386854,0.72727273
3,41,0.93838124,0.69318182
8,2,1.05968322,0.75520833
8,3,1.28755344,0.68489583
8,4,0.85777472,0.84895833
8,5,0.856216,0.765625
8,6,0.85394339,0.80729167
8,7,1.06498082,0.90104167
9,2,0.79172486,0.56770833
9,3,1.0515513,0.671875
9,4,0.63964007,0.42447917
9,5,0.63656834,0.390625
9,6,0.63448704,0.44791667
9,7,0.91531537,0.61979167
10,2,0.70738026,0.56770833
10,3,0.96578162,0.65104167
10,4,0.58158774,0.54166667
10,5,0.57366381,0.36979167
10,6,0.56946933,0.41145833
10,7,0.82180887,0.45833333
11,2,0.71155366,0.51041667
11,3,1.00947865,0.71354167
11,4,0.68052566,0.46875
11,5,0.66411544,0.34375
11,6,0.66048985,0.38020833
11,7,0.87444153,0.55208333
12,2,1.18526082,0.77083333
12,3,1.32645424,0.765625
12,4,1.3362592,0.69791667
12,5,1.31254377,0.68229167
12,6,1.30432786,0.63020833
12,7,1.31749835,0.7109375
13,14,0.58267404,0.75480769
13,15,0.85599697,0.70192308
13,16,0.63053226,0.70673077
13,17,0.56894734,0.58173077
13,18,0.57250509,0.56730769
13,19,0.5747515,0.82211538
20,14,0.7566321,0.71153846
20,15,0.86298205,0.53365385
20,16,0.64638329,0.75480769
20,17,0.74301845,0.77403846
20,18,0.77787761,0.72115385
20,19,0.7294956,0.53365385
21,14,0.68121761,0.73557692
21,15,0.99560424,0.71153846
21,16,0.68638008,0.57211538
21,17,0.62012844,0.51442308
21,18,0.62355362,0.53365385
21,19,0.61728284,0.68269231
22,14,0.57337231,0.73557692
22,15,0.81800295,0.68269231
22,16,0.55254824,0.45192308
22,17,0.54709697,0.42788462
22,18,0.55996152,0.5
22,19,0.55255031,0.79326923
23,14,0.57506349,0.75480769
23,15,0.85769469,0.67307692
23,16,0.56253274,0.5
23,17,0.53923445,0.45192308
23,18,0.54855989,0.41826923
23,19,0.55030042,0.77884615
24,14,0.64805138,0.77884615
24,15,1.0021081,0.70192308
24,16,0.67463207,0.73557692
24,17,0.61278647,0.74519231
24,18,0.60443614,0.77884615
24,19,0.62144006,0.67788462
25,26,0.70166706,0.71153846
25,27,0.9714715,0.72115385
25,28,0.58836269,0.62980769
25,29,0.60416686,0.67307692
25,30,0.61623458,0.66346154
25,31,0.68298201,0.61057692
32,26,0.70457297,0.8125
32,27,0.85270594,0.72115385
32,28,0.82437808,0.79326923
32,29,0.79227884,0.61057692
32,30,0.79843877,0.74038462
32,31,0.80445789,0.75480769
33,26,0.54365736,0.68269231
33,27,0.76611193,0.61538462
33,28,0.55683262,0.73557692
33,29,0.57406141,0.53365385
33,30,0.5700745,0.51923077
33,31,0.54675923,0.72596154
34,26,0.58068012,0.65865385
34,27,0.86791114,0.63461538
34,28,0.53842573,0.69230769
34,29,0.53306219,0.52403846
34,30,0.53556035,0.45673077
34,31,0.56664331,0.69230769
35,26,0.62601456,0.73557692
35,27,0.93190812,0.65384615
35,28,0.55528325,0.67307692
35,29,0.54205506,0.62980769
35,30,0.54715601,0.51442308
35,31,0.60131701,0.65384615
36,26,0.87381304,0.76923077
36,27,1.17337408,0.65384615
36,28,0.71948735,0.71634615
36,29,0.72591261,0.80769231
36,30,0.72963373,0.76442308
36,31,0.80895335,0.82692308
37,38,0.61988343,0.52272727
37,39,0.63604195,0.625
37,40,0.60739361,0.64204545
37,41,0.66721927,0.625
42,39,0.67690672,0.52840909
42,40,0.64205352,0.53977273
42,41,0.60489652,0.47159091
43,38,0.60049481,0.66477273
43,39,0.62818154,0.64204545
43,40,0.59737536,0.65340909
43,41,0.65997423,0.64772727
43,44,0.57191741,0.65909091
43,45,0.84645608,0.84090909
43,46,0.59523587,0.6875
47,38,0.58042505,0.39204545
47,39,0.64986538,0.5625
47,40,0.61085795,0.48863636
47,41,0.58364828,0.53409091
47,44,0.59173827,0.66477273
47,45,0.98797019,0.78977273
47,46,0.59833002,0.61931818
48,38,0.59815877,0.41477273
48,39,0.63346526,0.44318182
48,40,0.5962097,0.34659091
48,41,0.59350937,0.52272727
48,44,0.56952024,0.67613636
48,45,0.95464796,0.75568182
48,46,0.58002034,0.52840909
49,38,0.59385466,0.45454545
49,39,0.65854273,0.61931818
49,40,0.62338005,0.64772727
49,41,0.63954019,0.59090909
49,44,0.61430026,0.35227273
49,45,0.83666987,0.67613636
49,46,0.62085963,0.60227273
