Mixture Label,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID
1,22311,5281515,8030,3314,31272,798,6184,8892,8025,6054,0,8148,997,1060,22873,10890,61138,2879,10430,8048,6561,22386,11509,0,8797,16666,7749,8842,7799,7762
2,12232,7731,14100,7966,7848,18827,6549,1068,2758,7710,326,1146,637511,10976,12741,8118,6501,0,0,10821,8103,7344,8051,12473,460,7583,11002,12367,6590,7991
3,3314,62433,5281515,7749,6561,12178,1068,7165,11552,12348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3314,62433,5281515,7749,6561,12178,8048,7710,22386,18827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8797,2879,14100,6501,6549,22873,454,8048,8130,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8797,2879,14100,6501,6549,22873,454,8048,8130,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8148,6544,8030,6982,7519,62433,24915,61138,7632,12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19789253,14100,22386,326,6654,5281168,8103,8091,31276,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4133,7059,6501,1031,12180,11124,6448,180,14286,6544,62465,637511,8051,14100,8892,2879,12232,31249,8103,31272,7363,10890,7991,6982,240,8048,22873,16666,6549,7762
10,4133,7059,6501,1031,12180,11124,6448,180,14286,6544,62465,637511,8051,14100,8892,2879,12232,31249,8103,31272,5283349,1146,2969,7714,6989,798,31244,454,8635,8091
11,7749,6654,176,31276,1140,5373603,180,22873,7685,4133,14100,1068,7600,12741,10821,31244,31265,1060,78605,8842,7632,460,6501,0,18827,12178,14896,31249,62336,7848
12,7749,6654,176,31276,1140,5373603,180,22873,7685,4133,14100,1068,7600,12741,10821,31244,31265,1060,78605,8842,7632,460,6501,0,18827,12178,14896,31249,62336,8118
13,5281168,12348,6501,10430,7519,261,62465,0,7363,8918,15380,8030,7410,8051,11124,14100,8186,6544,8118,18827,0,0,0,0,0,0,0,0,0,0
14,5281168,12348,6501,10430,7519,261,62465,0,7363,8918,15380,8030,7410,8051,11124,7714,8148,31249,31276,8635,0,0,0,0,0,0,0,0,0,0
15,637566,6544,8842,3314,31244,8103,12020,11552,0,0,25137858,8048,19789253,2969,240,8025,7583,31265,1060,12367,176,12348,12178,177,7410,8091,31272,180,798,10821
16,637566,6544,8842,3314,31244,8103,12020,11552,0,0,25137858,8048,19789253,2969,240,8025,7583,31265,1060,12367,637511,8130,6989,3776,7150,7710,6654,1068,5281515,2879
17,5281515,15380,12367,3776,7632,2758,8797,7731,8091,1140,8130,8118,8635,10430,7991,12741,5373603,7165,176,240,798,6654,7410,11124,6448,8048,11509,22386,997,62336
18,5281515,15380,12367,3776,7632,2758,8797,7731,8091,1140,8130,8118,8635,10430,7991,12741,5373603,7165,176,240,798,6654,7410,11124,6448,8048,11509,22386,997,637511
19,4133,31265,2969,12020,78605,7410,7731,6561,5281515,1031,7363,7991,12367,7714,2758,8030,61138,31272,62444,22873,0,0,0,0,0,0,0,0,0,0
20,4133,31265,2969,12020,78605,11509,8025,8048,22386,7799,6544,6736,8918,8103,22311,8051,180,12473,31249,6501,0,0,0,0,0,0,0,0,0,0
21,12473,7632,2758,7799,1060,7583,2879,31249,7519,8118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12473,7632,2758,7799,1060,7583,2879,31249,7519,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8091,5281515,14896,61138,326,1031,6590,8892,25137858,7590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8091,5281515,14896,61138,326,1031,7363,7966,22386,16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,11002,7344,6054,12348,7460,19789253,1146,10560,8635,25137858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8918,11509,22386,31276,176,11124,10722,12178,22311,6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,8130,12741,22311,7710,11509,11552,2758,7519,180,11002,25137858,31249,7848,7966,19789253,1060,7600,7363,22386,19310,0,0,0,0,0,0,0,0,0,0
28,8130,12741,22311,7710,11509,1140,5283349,7460,454,8842,6654,10722,10430,798,6054,16666,12178,7685,6736,0,0,0,0,0,0,0,0,0,0,0
29,12348,798,8842,7848,7749,8918,2969,1060,19310,7632,61138,10560,326,62433,8091,454,1140,3314,11002,22311,0,0,0,0,0,0,0,0,0,0
30,22201,0,10890,62444,12473,6736,8635,8118,10976,6501,1146,12020,15380,12180,7519,7731,31249,31276,78605,11509,0,0,0,0,0,0,0,0,0,0
31,5634,997,10560,31265,1068,22311,326,6590,31249,11124,7363,8892,2879,176,61016,1031,5283349,6654,62465,22386,0,0,0,0,0,0,0,0,0,0
32,5634,997,10560,31265,1068,8118,4133,6989,8842,62444,10821,7583,8130,8148,31276,12367,637566,14100,261,7799,0,0,0,0,0,0,0,0,0,0
33,637566,8091,637511,10890,18827,10722,10560,25137858,6590,8103,7848,1146,10882,11552,62465,22386,8030,7150,12180,7710,0,0,0,0,0,0,0,0,0,0
34,637566,8091,637511,10890,18827,10722,10560,25137858,6590,8103,7848,1146,10882,11552,62465,264,31272,8186,31265,62336,0,0,0,0,0,0,0,0,0,0
35,8048,5281168,14100,6448,1031,22311,7762,7150,31249,8892,62433,7714,2879,2969,7410,7731,10821,14286,10976,12473,7848,25137858,62465,8635,61138,5281515,6561,8030,11509,22386
36,8048,5281168,14100,6448,1031,22311,7762,7150,31249,8892,16666,7799,7590,5283349,7583,31272,4133,460,61016,176,12741,1060,12180,62444,22201,7600,0,10882,6654,261
37,0,31244,12348,62465,25137858,31276,7059,8148,6982,66328,7991,8635,7583,8025,11002,19310,7344,2879,8091,0,1068,12020,7685,7966,62433,7799,7363,7519,22201,7600
38,0,31244,12348,62465,25137858,31276,7059,8148,6982,66328,7991,8635,7583,8025,11002,19310,7344,2879,8091,0,454,4133,15380,8797,1060,637511,6654,6590,10430,177
39,8186,326,66328,22201,22873,6184,12178,7710,177,8797,62433,61016,8842,7059,1060,10882,10560,7848,31244,637511,7410,7632,78605,6561,6590,11124,11002,15380,31249,31272
40,8186,326,66328,22201,22873,6184,12178,7710,177,8797,62433,61016,8842,7059,1060,10882,10560,7848,31244,637511,240,798,7749,3314,7731,31265,2969,10890,6736,7583
41,7059,7714,10722,7710,0,12473,11552,7749,8091,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7059,7714,10722,7710,0,12473,78605,3314,22386,66328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7344,2879,997,31244,10722,7519,6054,326,24915,6654,180,8130,7583,10821,10882,6736,5283349,7762,12367,11509,0,0,0,0,0,0,0,0,0,0
44,7344,2879,997,31244,10722,1060,6549,12348,7150,7600,7848,8918,0,1068,8048,8635,14896,6184,78605,6501,0,0,0,0,0,0,0,0,0,0
45,4133,7799,6590,8148,7714,10976,14896,3314,66328,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4133,7799,6590,8148,7714,10976,180,11124,22386,8918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8130,7966,7731,8103,3776,62336,8025,10976,12232,19789253,31265,12020,326,7600,0,454,7685,22873,11124,7460,176,66328,12178,7749,7991,22201,31276,7150,8918,6654
48,8130,7966,7731,8103,3776,62336,8025,10976,12232,19789253,31265,12020,326,7600,0,454,7685,22873,11124,7460,78605,5283349,5373603,6590,8030,6054,1031,637511,7848,7583
49,10821,0,7632,7731,7714,7799,11552,6989,12348,7685,7150,12178,31249,22386,10890,7583,22311,3776,454,7848,0,0,0,0,0,0,0,0,0,0
50,10821,0,7632,7731,7714,7799,11552,6989,12348,7685,7150,12178,31249,22386,10890,2879,7059,6561,8051,8091,0,0,0,0,0,0,0,0,0,0
51,8030,0,261,8635,12020,6184,3314,14100,8842,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8030,0,261,12741,1146,22386,7344,5634,62336,78605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,62444,62336,7848,8051,5281515,454,7600,3776,12367,261,7714,6549,19310,62465,4133,8635,1146,8797,6561,637511,7165,31249,7799,7583,8030,6736,62433,61138,997,6654
54,1140,7685,15380,5283349,176,0,177,8091,8918,61016,5373603,22311,14896,7590,7749,6544,19789253,637566,22873,8842,12180,12020,10976,0,6989,10882,12473,25137858,7762,11124
55,176,5634,8048,10722,8635,8030,7059,7710,1060,2758,61138,1068,7731,12473,1031,62433,6654,8186,8103,31265,0,0,0,0,0,0,0,0,0,0
56,176,5634,8048,10722,8635,8030,7059,7710,1060,2758,8148,7150,10821,7165,6561,7799,460,326,7410,8130,0,0,0,0,0,0,0,0,0,0
57,61016,31244,11509,78605,0,5283349,176,8048,8892,6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,61016,31244,11509,8025,62336,22386,14896,7632,637511,7460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8091,7710,6561,454,3314,19789253,12232,2969,10722,5283349,6654,6184,12020,62465,7583,7685,3776,7714,997,61016,0,0,0,0,0,0,0,0,0,0
60,8091,7710,6561,454,3314,19789253,12232,2969,10722,5283349,6654,6184,12020,62465,7583,7685,3776,7714,997,8030,0,0,0,0,0,0,0,0,0,0
61,22386,637566,62336,637511,14896,0,6184,7590,2879,18827,6736,6561,7600,11552,8030,5373603,1068,14286,8892,12348,0,0,0,0,0,0,0,0,0,0
62,22386,637566,62336,637511,14896,0,6184,7590,2879,18827,6736,6561,7600,11552,8030,5373603,1068,14286,8892,5283349,0,0,0,0,0,0,0,0,0,0
63,8186,0,8051,5634,7685,78605,10560,7363,7059,7749,12473,5283349,2879,31244,5281515,326,1031,7150,7344,8030,0,0,0,0,0,0,0,0,0,0
