Mixture Label,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID
1,7799,176,7363,14286,8025,6561,11552,12020,22386,9609,84682,8063,8857,7895,7284,11173,8103,637566,638011,10890,24915,3314,8842,10430,0,0,0,0,0,0
2,7799,6590,61138,11552,62336,9609,6276,7895,7284,261,5284503,637566,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7799,7150,14286,264,11552,62336,263,9609,7895,261,8103,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7799,1068,3776,61138,7793,264,527,263,84682,10448,7284,11173,5318042,637566,638011,10890,24915,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1068,6590,1031,176,180,3776,7363,7150,14286,8025,6561,443158,22386,1032,6569,84682,8063,6276,8857,7895,261,5284503,5318042,8103,10890,24915,31266,10430,0,0
6,7799,6590,31244,176,7150,8025,7793,443158,11552,1032,8063,7284,5284503,5318042,638011,24915,10430,0,0,0,0,0,0,0,0,0,0,0,0,0
7,31244,176,180,3776,7363,7150,14286,19310,443158,11552,22386,62336,263,9609,8063,7895,5284503,5318042,638011,637776,10430,0,0,0,0,0,0,0,0,0
8,6590,31244,180,3776,7363,14286,61138,6561,443158,11552,12020,62336,263,84682,8063,6276,10448,7895,11173,261,5284503,5318042,638011,10890,8842,0,0,0,0,0
9,7799,7363,61138,8025,443158,264,12020,527,263,1032,84682,10448,7895,7284,11173,8103,637566,638011,24915,31266,0,0,0,0,0,0,0,0,0,0
10,7799,1068,6590,31244,7150,61138,7793,443158,22386,5284503,637566,10890,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7799,1068,6590,31244,176,180,7150,61138,8025,6561,443158,22386,62336,527,9609,1032,6569,84682,6276,10448,8857,7895,11173,5284503,5318042,8103,637566,638011,637776,10890
12,1068,6590,31244,1031,176,180,3776,7363,7150,7793,12020,6584,1032,6569,8857,637566,10430,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7799,1031,176,180,14286,8025,6561,7793,264,11552,12020,22386,263,6584,84682,8063,5284503,5318042,8103,3314,10430,0,0,0,0,0,0,0,0,0
14,7799,6590,31244,1031,180,3776,7363,7150,14286,61138,19310,443158,264,12020,22386,62336,527,263,6584,1032,84682,6276,7895,7284,5284503,638011,637776,24915,31266,0
15,1031,7363,14286,19310,12020,263,1032,6569,8063,6276,7895,7284,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,31244,7150,8025,11552,22386,6584,6569,6276,10448,7895,7284,261,5284503,638011,637776,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7799,1068,6590,1031,7150,61138,8025,19310,6561,7793,11552,12020,263,6276,10448,7895,261,5284503,5318042,638011,637776,8842,10430,0,0,0,0,0,0,0
18,6590,31244,176,180,7363,7150,61138,8025,19310,6561,443158,11552,12020,62336,263,9609,1032,6276,10448,7895,7284,8103,638011,637776,24915,3314,0,0,0,0
19,7799,6590,31244,1031,180,3776,7363,61138,8025,19310,6561,443158,264,22386,62336,527,263,6584,6569,10448,8857,7284,11173,261,5318042,8103,638011,637776,31266,3314
20,7799,1068,6590,31244,176,180,3776,7150,14286,61138,19310,6561,443158,11552,527,9609,1032,6569,10448,8857,7895,7284,11173,261,637566,637776,10890,31266,3314,8842
21,1068,1031,176,180,7363,61138,19310,443158,22386,62336,9609,6584,1032,6569,84682,8063,6276,5284503,8103,637566,638011,31266,3314,10430,0,0,0,0,0,0
22,31244,176,3776,6561,264,9609,6584,84682,6276,11173,261,8103,637566,637776,24915,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6590,31244,3776,7150,61138,19310,7793,22386,62336,527,9609,6584,1032,8857,7895,5284503,8103,637566,8842,0,0,0,0,0,0,0,0,0,0,0
24,6590,180,6561,22386,527,263,6569,10448,8857,637776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7799,176,7363,19310,6561,264,12020,62336,84682,8857,7895,7284,5318042,638011,24915,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6590,31244,7363,61138,19310,6561,264,1032,6569,84682,10448,261,5284503,5318042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6590,31244,176,180,61138,8025,19310,7793,443158,12020,527,263,1032,6569,84682,8063,7895,11173,261,5284503,5318042,637566,638011,637776,10890,31266,3314,8842,10430,0
28,1031,176,7363,7150,8025,6561,7793,11552,527,6584,1032,10448,7895,7284,11173,5284503,637566,638011,10890,8842,0,0,0,0,0,0,0,0,0,0
29,6590,31244,3776,7150,6561,7793,443158,264,12020,527,263,9609,8063,6276,8857,7895,7284,261,5318042,8103,638011,24915,31266,3314,10430,0,0,0,0,0
30,7799,1031,176,3776,7793,22386,9609,8063,7895,11173,5318042,638011,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
