CID,INTENSITY,PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,35.529411765,48.956521739,0.63043478261,24.347826087,6.2391304348,0.28260869565,1.6086956522,3.652173913,4,7.5,1.5869565217,2.847826087,0.91304347826,8.3043478261,1.5,1.8043478261,4.9782608696,1.2608695652,1.347826087,9.2608695652,14.239130435
176,18.785714286,48.461538462,2.5384615385,6.6923076923,1.2307692308,0,7.1923076923,8.2307692308,5.7692307692,15.307692308,3.8461538462,3.5,4.2307692308,6.7692307692,7.1538461538,3.6153846154,3.0384615385,1.8076923077,1.9615384615,4.1153846154,3.3846153846
177,42.894736842,45.315789474,8.4210526316,20.078947368,1.7631578947,0,0.63157894737,2.5,7,10.447368421,0.92105263158,4.4473684211,4.5263157895,3.4210526316,1.9473684211,3.7894736842,3.2631578947,1.0263157895,4,2.1842105263,18.789473684
196,14.652173913,53.21875,1.75,18.3125,1.3125,0,1.90625,6.15625,5.5625,6.21875,3.6875,3.21875,9.4375,6.78125,6.09375,2.78125,6.90625,1.1875,2.21875,9.625,7.75
239,35.75862069,51.351351351,0.67567567568,8.5675675676,2.3513513514,1,2.3513513514,2.7297297297,7.1891891892,7.2972972973,3.4864864865,3.8918918919,3.9189189189,5.2432432432,0.54054054054,0.18918918919,3.3243243243,4.8918918919,6.8648648649,5.7837837838,10.486486486
240,77.489795918,61.87755102,17.408163265,43.265306122,28.489795918,0.40816326531,0.020408163265,6.3673469388,5.5510204082,2.8571428571,0.44897959184,2.306122449,6.6734693878,3.3265306122,0.081632653061,3.0816326531,0.22448979592,0.22448979592,1.7551020408,13.551020408,19.591836735
241,12.086956522,50.52173913,2.4347826087,7.1739130435,0.39130434783,0,1.4782608696,3.3913043478,1.1739130435,4.0434782609,6,1.7826086957,4.5652173913,10.434782609,5.4347826087,3.4347826087,0.47826086957,0,0.65217391304,6.4347826087,20.391304348
244,45.674418605,46.583333333,1.0625,22.375,13.666666667,2.3333333333,2.1041666667,6.6041666667,7.8541666667,3.3125,2.6875,10.645833333,4.625,6.5208333333,0.89583333333,6.25,4.8541666667,1.4791666667,0.020833333333,7.125,32.75
261,83.416666667,18.270833333,0.95833333333,0.97916666667,0.14583333333,3.7708333333,5.2708333333,6.0625,1.1666666667,23.8125,8.2708333333,10.958333333,4.7083333333,21.354166667,10.958333333,13.25,15.1875,1.3541666667,1.7083333333,0.95833333333,20.395833333
263,14.958333333,41.8,2.56,8.24,1.76,0.68,5.2,4.96,2.24,18.56,1.56,2.48,4.24,8,4.32,3.4,2.88,0.92,4.64,3,5
